dataset,variant,variant_key,poison_percent,n_clients,n_attackers,ndcg@10,ndcg@20,recall@20,precision@20,acc@10,seed,best_training.local_epochs,best_training.learning_rate,best_preference.beta_Q,best_preference.lambda_uncertainty,best_preference.kappa
Swarm,PCTRA w/o Marginal Utility,without_marginal_utility,0,30,0,0.0709665180968584,0.1022935078382807,0.1899128751098171,0.0426971110039127,0.316235193225063,42,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Marginal Utility,without_marginal_utility,10,30,3,0.0714891684111373,0.1032286285410973,0.1928610621521573,0.0430026263600793,0.3188615533043897,52,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Marginal Utility,without_marginal_utility,20,30,6,0.06914196937709,0.1011325700611664,0.1903504385366551,0.0427078308409712,0.3142520233692448,62,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Marginal Utility,without_marginal_utility,30,30,9,0.0687805076871445,0.10170673449055,0.1925621401729861,0.0429302674599346,0.3080881170606206,72,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Marginal Utility,without_marginal_utility,50,30,15,0.0709778831197725,0.1029369586886793,0.1926029549208673,0.0425818727555341,0.3156456021868468,92,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,0,30,0,0.0709527744266414,0.1022923820156726,0.1899393684214045,0.0426890711261188,0.3160743956691858,42,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,10,30,3,0.0711537739589037,0.1035164342788029,0.1939336705983558,0.0431821836308088,0.3174143753014954,52,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,20,30,6,0.0691109685524701,0.1011255703296671,0.1905748524191862,0.0427212306372943,0.3135016347751514,62,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,30,30,9,0.0689013212101843,0.1014028486933645,0.1921069396985171,0.0427480302299405,0.3088921048400064,72,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,50,30,15,0.0709215155185148,0.1029500620459453,0.1929914495531888,0.0426140322667095,0.3150560111486305,92,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Uncertainty Quantification,without_uncertainty,0,30,0,0.0709961552263288,0.1023132057797675,0.1899858876434123,0.0426944310446481,0.316235193225063,42,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Uncertainty Quantification,without_uncertainty,10,30,3,0.0715200179099092,0.1032112308282414,0.1927018687539031,0.04299726644155,0.318754354933805,52,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Uncertainty Quantification,without_uncertainty,20,30,6,0.0691677505280889,0.1011786163783507,0.190482429840066,0.0427239105965589,0.3146808168515838,62,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Uncertainty Quantification,without_uncertainty,30,30,9,0.0688785128566462,0.1016565343200184,0.1923340356828936,0.0429088277858176,0.3082489146164978,72,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Uncertainty Quantification,without_uncertainty,50,30,15,0.0709281890862978,0.1029272242217244,0.192645600591652,0.0425791927962695,0.3155384038162619,92,1,0.02,1.5,0.7,1.0
