dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Foursquare,0.5,0.7,0.5,5,0.005,0.0754530661008873,0.11569409026673427,0.09128046642206857,0.18496715695864546,0.056159868149979406,0.05716934487021014,0.25133910177173463,0.4281005356407087,0.6868562010712814
Foursquare,0.5,0.7,0.5,5,0.01,0.07538093748500313,0.11589998536712615,0.0903465454997877,0.1865615089745483,0.05578903996703748,0.056880922950144214,0.25010300782859496,0.4276885043263288,0.6687268232385661
Foursquare,0.5,0.7,0.5,5,0.02,0.0787125146226071,0.11801207120589843,0.09482665078439051,0.1868708851312099,0.056736711990111245,0.0565306963329213,0.2604037906880923,0.44087350638648537,0.6827358879274825
Foursquare,0.5,0.7,0.5,10,0.005,0.07651201130351354,0.11352601332526627,0.09444185511360965,0.18137899962723786,0.0580964153275649,0.05626287597857438,0.24721878862793573,0.4429336629583848,0.6757313555830243
Foursquare,0.5,0.7,0.5,10,0.01,0.0797989320301756,0.11839793780042138,0.09714471318054112,0.18795700252409814,0.057890399670374945,0.05704573547589616,0.2550473836011537,0.4511742892459827,0.6782035434693037
Foursquare,0.5,0.7,0.5,10,0.02,0.07962617999939813,0.12014484523447418,0.09413136372935879,0.19061799026091333,0.05751957148743306,0.057498969921714056,0.253811289658014,0.43757725587144625,0.6798516687268232
Foursquare,0.5,0.7,1.0,1,0.005,0.07656402312337729,0.11653505156443943,0.09100575644092147,0.185493057233143,0.05595385249278945,0.056571899464359296,0.25628347754429337,0.43510506798516685,0.6777915121549237
Foursquare,0.5,0.7,1.0,1,0.01,0.07852443974574522,0.11729231677267095,0.0949535099365151,0.18738877482142388,0.05694272764730119,0.05593325092707046,0.2554594149155336,0.44210960032962504,0.6864441697569015
Foursquare,0.5,0.7,1.0,1,0.02,0.07746053818340692,0.1172368607374998,0.09467479751075598,0.18887422147811544,0.05718994643592914,0.05725175113308611,0.2554594149155336,0.4433456942727647,0.6893283889575608
Foursquare,0.5,0.7,1.0,3,0.005,0.07646694380383573,0.11707055274814897,0.0940892256958156,0.1897207638170937,0.057519571487433044,0.05778739184177997,0.2521631644004944,0.44499381953028433,0.6918005768438401
Foursquare,0.5,0.7,1.0,3,0.01,0.08063692324602816,0.11895997743113068,0.09492955875063241,0.1852632738342072,0.057519571487433044,0.056139266584260404,0.26452410383189123,0.4470539761021838,0.6835599505562423
Foursquare,0.5,0.7,1.0,3,0.02,0.08130848682963758,0.11943539549283304,0.09725221006447672,0.1878597625347901,0.05916769674495261,0.057128141738772134,0.2723526988051092,0.44746600741656367,0.6876802637000412
Foursquare,0.5,0.7,1.0,5,0.005,0.07574250083833513,0.11611520332251456,0.09259480349615361,0.18825483271356613,0.05554182117840956,0.056551297898640294,0.24927894519983518,0.4264524103831891,0.6802637000412032
